config,parameter,truth,bias,rmse,emp_sd,n_valid,n_converged,n_total,status_note
latent_n500_D2_a0.1,beta3,0.0,-0.0054373743478571546,0.09750367783074074,0.0974494481287778,500,500,500,
latent_n500_D2_a0.1,beta4,0.0,-0.001906338919023861,0.09902184793089534,0.09910264834702434,500,500,500,
latent_n500_D2_a0.1,beta5,0.0,0.004577708385275411,0.08993288970138393,0.08990625955401914,500,500,500,
latent_n1000_D2_a0.1,beta0,0.0,-0.00032115753599860024,0.06730527798038888,0.06737191738669168,500,500,500,name corrected from beta0.eta_pi
latent_n1000_D2_a0.1,beta1,2.0,0.01736924583512074,0.12606301951989918,0.12498574744234264,500,500,500,
latent_n1000_D2_a0.1,beta2,0.0,0.0037618307289759407,0.0650173647868366,0.06497345190380226,500,500,500,
latent_n1000_D2_a0.1,beta3,0.0,-0.0009634118687055686,0.06931176411013902,0.06937447742409687,500,500,500,
latent_n1000_D2_a0.1,beta4,0.0,0.002997960601230917,0.06656382180105168,0.06656287130727587,500,500,500,
latent_n1000_D2_a0.1,beta5,0.0,-0.0016685749255809683,0.07325362931185506,0.07330796806240963,500,500,500,
latent_n500_D1_a0.2,beta0,0.0,0.00023246125939008704,0.11599671155449678,0.11611358766831001,496,496,500,name corrected from beta0.eta_pi
latent_n500_D1_a0.2,beta1,1.0,0.004118131234551341,0.14954398641644878,0.14963819432726932,496,496,500,
latent_n500_D1_a0.2,beta2,0.0,-0.004739637497189097,0.10891861213109934,0.10892529877328273,496,496,500,
latent_n500_D1_a0.2,beta3,0.0,0.003137501187129966,0.11688842473387581,0.11696427600898587,496,496,500,
latent_n500_D1_a0.2,beta4,0.0,-0.005066653991016324,0.1200303071335336,0.12004439758959588,496,496,500,
latent_n500_D1_a0.2,beta5,0.0,-0.0037917686750749747,0.11885984957585406,0.11891929204745535,496,496,500,
latent_n1000_D1_a0.2,beta0,0.0,0.005730408120257961,0.07938142229043793,0.07925361125792922,500,500,500,name corrected from beta0.eta_pi
latent_n1000_D1_a0.2,beta1,1.0,-0.0005305274387250825,0.09763064981905735,0.09772698425527837,500,500,500,
latent_n1000_D1_a0.2,beta2,0.0,-0.002672508768722501,0.0781673800713886,0.0781999198146908,500,500,500,
latent_n1000_D1_a0.2,beta3,0.0,-0.00042428984549725923,0.07903472106826075,0.07911273451214265,500,500,500,
latent_n1000_D1_a0.2,beta4,0.0,-0.0013269597629717107,0.07453904383829739,0.07460187070268247,500,500,500,
latent_n1000_D1_a0.2,beta5,0.0,-0.0031189664401113626,0.080930266710355,0.08095113520350489,500,500,500,
latent_n500_D2_a0.2,beta0,0.0,0.002873425092250746,0.10994213916170727,0.11001465283938394,500,500,500,name corrected from beta0.eta_pi
latent_n500_D2_a0.2,beta1,2.0,0.016508960881668356,0.19991736204052338,0.19943408375545038,500,500,500,
latent_n500_D2_a0.2,beta2,0.0,-0.0003707002899510723,0.11871436843123966,0.11883268180872993,500,500,500,
latent_n500_D2_a0.2,beta3,0.0,0.009070081606157486,0.1058916828341058,0.10560818287271044,500,500,500,
latent_n500_D2_a0.2,beta4,0.0,-0.008437126608213105,0.11940568494669458,0.11922651725610502,500,500,500,
latent_n500_D2_a0.2,beta5,0.0,0.0004658097325980317,0.11014861921637693,0.11025794740743372,500,500,500,
latent_n1000_D2_a0.2,beta0,0.0,0.0010361703821208294,0.07652988411035412,0.07659950706007931,500,500,500,name corrected from beta0.eta_pi
latent_n1000_D2_a0.2,beta1,2.0,0.007958312212159643,0.1263299722200562,0.1262053196710841,500,500,500,
latent_n1000_D2_a0.2,beta2,0.0,-0.001020233186965132,0.07938371563918031,0.07945665581455666,500,500,500,
latent_n1000_D2_a0.2,beta3,0.0,-0.0029289422749264418,0.07187284323752093,0.07188505975393678,500,500,500,
